 -306.5027 -152.3688
 -305.7742 -152.3692
 -305.0531 -152.3703
 -304.3391 -152.3721
 -303.6322 -152.3746
 -302.9322 -152.3777
 -302.2391 -152.3816
 -301.5525 -152.3860
 -300.8726 -152.3912
 -300.1991 -152.3970
 -299.5320 -152.4034
 -298.8710 -152.4104
 -298.2162 -152.4180
 -297.5674 -152.4262
 -296.9246 -152.4350
 -296.2875 -152.4444
 -295.6561 -152.4543
 -295.0304 -152.4648
 -294.4102 -152.4758
 -293.7955 -152.4874
 -293.1861 -152.4996
 -292.5819 -152.5122
 -291.9830 -152.5254
 -291.3891 -152.5390
 -290.8003 -152.5532
 -290.2164 -152.5679
 -289.6374 -152.5830
 -289.0631 -152.5986
 -288.4936 -152.6147
 -287.9287 -152.6313
 -287.3684 -152.6483
 -286.8126 -152.6658
 -286.2613 -152.6838
 -285.7143 -152.7021
 -285.1716 -152.7209
 -284.6332 -152.7402
 -284.0989 -152.7599
 -283.5688 -152.7799
 -283.0428 -152.8004
 -282.5207 -152.8213
 -282.0026 -152.8426
 -281.4884 -152.8643
 -280.9781 -152.8864
 -280.4715 -152.9089
 -279.9686 -152.9318
 -279.4695 -152.9550
 -278.9740 -152.9787
 -278.4820 -153.0026
 -277.9936 -153.0270
 -277.5087 -153.0517
 -277.0273 -153.0768
 -276.5492 -153.1022
 -276.0745 -153.1280
 -275.6031 -153.1541
 -275.1349 -153.1806
 -274.6700 -153.2074
 -274.2083 -153.2345
 -273.7497 -153.2620
 -273.2942 -153.2898
 -272.8417 -153.3179
 -272.3923 -153.3463
 -271.9459 -153.3750
 -271.5024 -153.4041
 -271.0619 -153.4335
 -270.6242 -153.4632
 -270.1893 -153.4931
 -269.7573 -153.5234
 -269.3281 -153.5540
 -268.9015 -153.5849
 -268.4777 -153.6160
 -268.0566 -153.6475
 -267.6381 -153.6792
 -267.2222 -153.7113
 -266.8089 -153.7436
 -266.3982 -153.7761
 -265.9900 -153.8090
 -265.5843 -153.8421
 -265.1810 -153.8755
 -264.7802 -153.9092
 -264.3818 -153.9432
 -263.9858 -153.9774
 -263.5921 -154.0118
 -263.2008 -154.0465
 -262.8117 -154.0815
 -262.4250 -154.1168
 -262.0405 -154.1523
 -261.6582 -154.1880
 -261.2781 -154.2240
 -260.9002 -154.2602
 -260.5245 -154.2967
 -260.1509 -154.3334
 -259.7794 -154.3704
 -259.4101 -154.4076
 -259.0427 -154.4450
 -258.6775 -154.4827
 -258.3142 -154.5206
 -257.9530 -154.5588
 -257.5937 -154.5971
 -257.2364 -154.6357
 -256.8810 -154.6746
 -256.5276 -154.7136
 -256.1761 -154.7529
 -255.8264 -154.7924
 -255.4786 -154.8321
 -255.1327 -154.8720
 -254.7886 -154.9122
