  -349.9715  -349.9715  -195.8377
  -348.8214  -343.0008  -195.8722
  -347.7509  -336.6549  -195.9684
  -346.7498  -330.8372  -196.1172
  -345.8102  -325.4714  -196.3115
  -344.9255  -320.4961  -196.5456
  -344.0903  -315.8611  -196.8151
  -343.3001  -311.5254  -197.1163
  -342.5511  -307.4546  -197.4462
  -341.8401  -303.6198  -197.8022
  -341.1642  -299.9964  -198.1824
  -340.5212  -296.5636  -198.5850
  -339.9088  -293.3034  -199.0085
  -339.3252  -290.2000  -199.4517
  -338.7687  -287.2399  -199.9136
  -338.2379  -284.4110  -200.3933
  -337.7315  -281.7029  -200.8899
  -337.2482  -279.1061  -201.4030
  -336.7870  -276.6125  -201.9318
  -336.3470  -274.2145  -202.4761
  -335.9272  -271.9055  -203.0353
  -335.5268  -269.6795  -203.6093
  -335.1452  -267.5311  -204.1976
  -334.7816  -265.4555  -204.8002
  -334.4354  -263.4480  -205.4168
  -334.1060  -261.5048  -206.0473
  -333.7930  -259.6220  -206.6917
  -333.4958  -257.7964  -207.3499
  -333.2140  -256.0247  -208.0218
  -332.9472  -254.3041  -208.7076
  -332.6950  -252.6320  -209.4072
  -332.4571  -251.0059  -210.1208
  -332.2330  -249.4236  -210.8484
  -332.0227  -247.8830  -211.5901
  -331.8256  -246.3822  -212.3462
  -331.6417  -244.9192  -213.1167
  -331.4707  -243.4925  -213.9019
  -331.3123  -242.1005  -214.7020
  -331.1663  -240.7417  -215.5173
  -331.0327  -239.4148  -216.3480
  -330.9112  -238.1184  -217.1943
  -330.8017  -236.8514  -218.0567
  -330.7041  -235.6126  -218.9355
  -330.6182  -234.4010  -219.8310
  -330.5439  -233.2156  -220.7437
  -330.4812  -232.0555  -221.6738
  -330.4301  -230.9197  -222.6220
  -330.3903  -229.8075  -223.5887
  -330.3619  -228.7181  -224.5743
  -330.3449  -227.6508  -225.5795
  -330.3393  -226.6048  -226.6048
  -330.3449  -225.5795  -227.6508
  -330.3619  -224.5743  -228.7181
