-6.35540500e+01 -1.10667000e+01 -9.39109958e-03
-2.17572730e+00 -9.49695141e+00 -5.50282585e-01
-8.78868904e-01 -1.06913823e+01 -6.17941124e-01
-3.24872500e+01 -9.91640000e+00 -9.60750531e-03
-2.48755873e+00 -9.82783048e+00 -3.80869809e-01
-7.06081283e+00 -9.71191406e+00 -1.63899646e-01
-5.80711957e+00 -1.00425141e+01 -1.86530812e-01
-7.18719282e+00 -9.62481406e+00 -1.70485880e-01
-1.81835741e+01 -9.86060000e+00 -2.90071287e-02
-1.04397887e+00 -1.01748514e+01 -5.88319895e-01
-6.27474873e+00 -9.60881406e+00 -2.01748274e-01
-9.30669628e+00 -9.65811406e+00 -1.18506503e-01
-1.52077177e+00 -1.00567778e+01 -4.93033398e-01
-2.00480642e+00 -1.05913937e+01 -3.98832004e-01
-1.75030129e+01 -9.76030000e+00 -3.28887084e-02
-1.76554636e+00 -9.69409817e+00 -4.99309502e-01
-9.44377505e+00 -9.75341406e+00 -1.08982928e-01
-1.35572467e+00 -9.74535141e+00 -5.65921874e-01
-2.17572730e+00 -9.49695141e+00 -5.50282585e-01
-1.08239981e+01 -9.71981406e+00 -8.83985343e-02
-6.30295847e+00 -9.74811406e+00 -1.83680529e-01
-5.68259911e+00 -9.79281406e+00 -2.02800007e-01
-2.06442429e+00 -9.77988026e+00 -4.36379549e-01
-7.47405207e+00 -9.66621414e+00 -1.57254200e-01
-4.46113500e+01 -1.00685000e+01 -9.39109958e-03
