-0.0000000e+00   -0.0000000e+00   -1.0000000e+00
-0.0000000e+00   -1.0000000e+00   -0.0000000e+00
-1.0000000e+00   -0.0000000e+00   -0.0000000e+00
-0.0000000e+00   -6.3636364e-01   -3.6363636e-01
-5.4545455e-01   -2.7272727e-01   -1.8181818e-01
-2.7272727e-01   -3.6363636e-01   -3.6363636e-01
-4.0909091e-01   -1.3636364e-01   -4.5454545e-01
-1.8181818e-01   -5.9090909e-01   -2.2727273e-01
-9.0909091e-02   -9.0909091e-02   -8.1818182e-01
-8.1818182e-01   -9.0909091e-02   -9.0909091e-02
-9.0909091e-02   -8.1818182e-01   -9.0909091e-02
-1.3636364e-01   -5.9090909e-01   -2.7272727e-01
-7.2727273e-01   -1.3636364e-01   -1.3636364e-01
-7.7272727e-01   -0.0000000e+00   -2.2727273e-01
-4.5454545e-02   -5.9090909e-01   -3.6363636e-01
-5.0000000e-01   -4.0909091e-01   -9.0909091e-02
-2.2727273e-01   -2.7272727e-01   -5.0000000e-01
-5.9090909e-01   -4.0909091e-01   -0.0000000e+00
-0.0000000e+00   -1.0000000e+00   -0.0000000e+00
-1.8181818e-01   -3.1818182e-01   -5.0000000e-01
-3.1818182e-01   -3.1818182e-01   -3.6363636e-01
-3.6363636e-01   -2.7272727e-01   -3.6363636e-01
-5.4545455e-01   -3.1818182e-01   -1.3636364e-01
-2.2727273e-01   -4.5454545e-01   -3.1818182e-01
-0.0000000e+00   -9.0909091e-02   -9.0909091e-01
